Рейтинг,Имя,Никнейм,Категория,Подписчики,Страна
1,jlo,Jennifer Lopez,MusicCinema & Actors/actresses,252.4M,United States
2,vindiesel,Vin Diesel,Cinema & Actors/actresses,101.1M,United States
3,judebellingham,Jude Bellingham,LifestyleSports with a ball,18.9M,United Kingdom
4,cznburak,Burak Özdemir,Food & Cooking,54.1M,Turkey
5,emrata,Emily Ratajkowski,Modeling,30.3M,United States
6,thenotoriousmma,Conor McGregor Official,Fitness & Gym,46.8M,United States
7,enzozelocchi,Enzo Zelocchi,Cinema & Actors/actresses,14.4M,India
8,hannahstocking,Hannah Stocking,Modeling,25.9M,United States
9,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym,10.1M,Russia
10,hakkiakdenizz,hakki akdeniz,Business & Careers,30.5M,Turkey
11,otabek_muhammadalievich,Otabek Umarov,,26.4M,Russia
12,pugachevmark,Mark Pugachev,Cars & MotorbikesLuxury,19.6M,Russia
13,tamaaev,Тамаев Асхаб,Fitness & Gym,13.1M,Russia
14,snejanaonopka15,Snejana Onopka,Modeling,14.8M,Brazil
15,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actressesModeling,14.2M,Turkey
16,djeiran_han,Джейран Касымова,Family,7M,India
17,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty,22M,Russia
18,evcenf,Fahriye Evcen Özçivit,LifestyleBeauty,13.7M,Turkey
19,adamweitsman,Adam Weitsman,Business & Careers,19.6M,Kazakhstan
20,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,61.6M,United States
21,rahimabramov,Rakhim,Shows,6.2M,Russia
22,kashikakapoor09,Kashika Kapoor,BeautyLifestyleCinema & Actors/actresses,15.7M,India
23,irinashayk,irina shayk,Modeling,23.2M,Russia
24,larissamanoela,Larissa Manoela,Cinema & Actors/actresses,53M,Brazil
25,shelengovskiy,Dmitriy Shelengovskiy,Art/Artists,13.7M,United States
26,rosiehw,Rosie HW,Modeling,19.5M,United States
27,tatawerneck,Tata Werneck,Cinema & Actors/actressesFamily,56.8M,Brazil
28,eilirjani,Elton ILIRJANI,Adult content,11.8M,Brazil
29,limitless,Jas Mathur,Business & CareersManagement & Marketing,12.1M,United States
30,jcvd,Jean-Claude Van Damme,Cinema & Actors/actresses,7.9M,United States
31,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia
32,chrismcg,Christopher McGinnis,,10.2M,United States
33,ufc,UFC,Extreme Sports & Outdoor activityShows,38.1M,United States
34,rafiqkhalid,❥ Khalid Rafiq 👑💫,Lifestyle,4.1M,Russia
35,bmw,BMW,Cars & Motorbikes,37.6M,United States
36,kvara7,Khvicha Kvaratskhelia,,3.6M,Russia
37,dior,Dior Official,FashionClothing & OutfitsAccessories & Jewellery,45.3M,United States
38,islam_makhachev,Islam_Makhachev,Fitness & Gym,6.8M,Russia
39,nazar_8888_,Nazar Babenko,,12.3M,Ukraine
40,love__rose92,Liubava Rose ❤️🌹,Nature & landscapesLifestyleTravel,5.8M,India
41,katyagorod,Ekaterina Gorodnicheva,TravelLifestyle,6.4M,Russia
42,justking31,Nurtaza Nurbek,Humor & Fun & HappinessFamily,6.5M,Kazakhstan
43,abdu_rozik,Abduroziq Official,MusicShows,8.3M,Tajikistan
44,klavacoca,КЛАВА КОКА | Black Star,Music,8.1M,Russia
45,andreybatt,ANDREY BATT,,10.8M,Russia
46,juliaroberts,Julia Roberts,Cinema & Actors/actresses,11.4M,United States
47,helen_yes1,Елена Сажина,Cinema & Actors/actresses,10.2M,Russia
48,urgantcom,Иван Ургант,ShowsCinema & Actors/actresses,11.8M,Russia
49,mercedesbenz,Mercedes-Benz,Cars & MotorbikesLuxury,37.9M,United States
50,camerondiaz,Cameron Diaz,Cinema & Actors/actresses,11.7M,United States
